GAMEID,team,SB,T,Win
ANA202304070,0,0,0,W
ANA202304070,1,0,0,L
ANA202304080,0,0,0,L
ANA202304080,1,0,0,W
ANA202304090,0,0,0,W
ANA202304090,1,0,0,L
ANA202304100,0,0,0,W
ANA202304100,1,0,0,L
ANA202304110,0,0,0,L
ANA202304110,1,0,0,W
ANA202304120,0,0,0,L
ANA202304120,1,0,0,W
ANA202304210,0,0,0,L
ANA202304210,1,0,0,W
ANA202304220,0,0,0,W
ANA202304220,1,0,0,L
ANA202304230,0,0,0,L
ANA202304230,1,0,0,W
ANA202304240,0,0,0,W
ANA202304240,1,0,0,L
ANA202304250,0,0,1,L
ANA202304250,1,1,1,W
ANA202304260,0,1,0,L
ANA202304260,1,0,0,W
ANA202304270,0,0,0,L
ANA202304270,1,0,0,W
ANA202305050,0,0,0,L
ANA202305050,1,0,0,W
ANA202305060,0,0,0,W
ANA202305060,1,0,0,L
ANA202305070,0,0,0,W
ANA202305070,1,0,0,L
ANA202305080,0,0,0,L
ANA202305080,1,0,0,W
ANA202305090,0,0,0,W
ANA202305090,1,0,0,L
ANA202305100,0,0,0,W
ANA202305100,1,0,0,L
ANA202305190,0,0,0,L
ANA202305190,1,0,0,W
ANA202305200,0,0,0,W
ANA202305200,1,0,0,L
ANA202305210,0,0,0,L
ANA202305210,1,0,0,W
ANA202305220,0,0,0,L
ANA202305220,1,0,0,W
ANA202305230,0,0,0,L
ANA202305230,1,0,0,W
ANA202305240,0,0,0,L
ANA202305240,1,0,0,W
ANA202305260,0,0,0,W
ANA202305260,1,0,0,L
ANA202305270,0,0,0,W
ANA202305270,1,0,0,L
ANA202305280,0,0,0,W
ANA202305280,1,0,0,L
ANA202306060,0,0,0,L
ANA202306060,1,0,0,W
ANA202306070,0,0,0,L
ANA202306070,1,0,0,W
ANA202306080,0,0,0,L
ANA202306080,1,0,0,W
ANA202306090,0,0,0,L
ANA202306090,1,0,0,W
ANA202306100,0,0,0,W
ANA202306100,1,0,0,L
ANA202306110,0,0,0,L
ANA202306110,1,0,0,W
ANA202306200,0,0,0,W
ANA202306200,1,0,0,L
ANA202306210,0,0,0,W
ANA202306210,1,0,0,L
ANA202306260,0,0,0,L
ANA202306260,1,0,0,W
ANA202306270,0,0,0,L
ANA202306270,1,0,0,W
ANA202306280,0,0,0,W
ANA202306280,1,0,2,L
ANA202306290,0,0,0,W
ANA202306290,1,0,0,L
ANA202306300,0,0,0,W
ANA202306300,1,0,0,L
ANA202307010,0,0,0,W
ANA202307010,1,0,0,L
ANA202307020,0,0,0,L
ANA202307020,1,0,0,W
ANA202307140,0,0,0,W
ANA202307140,1,0,0,L
ANA202307150,0,0,0,L
ANA202307150,1,0,0,W
ANA202307160,0,0,0,W
ANA202307160,1,0,0,L
ANA202307170,0,0,0,L
ANA202307170,1,0,0,W
ANA202307180,0,0,0,L
ANA202307180,1,0,0,W
ANA202307190,0,0,0,L
ANA202307190,1,0,0,W
ANA202307210,0,0,0,L
ANA202307210,1,0,0,W
ANA202307220,0,0,0,W
ANA202307220,1,0,0,L
ANA202307230,0,0,0,L
ANA202307230,1,0,0,W
ANA202308030,0,1,0,W
ANA202308030,1,0,0,L
ANA202308040,0,0,0,W
ANA202308040,1,0,0,L
ANA202308050,0,0,0,W
ANA202308050,1,0,0,L
ANA202308060,0,0,0,W
ANA202308060,1,0,0,L
ANA202308070,0,0,0,W
ANA202308070,1,1,0,L
ANA202308080,0,0,0,L
ANA202308080,1,0,0,W
ANA202308090,0,0,0,L
ANA202308090,1,0,0,W
ANA202308180,0,0,0,W
ANA202308180,1,0,0,L
ANA202308191,0,0,0,L
ANA202308191,1,0,0,W
ANA202308192,0,0,0,W
ANA202308192,1,0,0,L
ANA202308220,0,1,0,W
ANA202308220,1,0,0,L
ANA202308231,0,0,0,W
ANA202308231,1,0,0,L
ANA202308232,0,0,0,W
ANA202308232,1,0,0,L
ANA202309040,0,0,0,W
ANA202309040,1,0,0,L
ANA202309050,0,0,0,W
ANA202309050,1,0,0,L
ANA202309060,0,0,0,W
